Venta,Timestamp,Ticket,Estado/Provincia
952.72,01/09/2024 08:00,1,Île-de-France
672.18,01/09/2024 08:30,2,Ontario
639.36,01/09/2024 14:30,14,Tamil Nadu
320.26,01/09/2024 09:00,3,New South Wales
200.04,01/09/2024 09:30,4,Karnataka
600.51,01/09/2024 10:00,5,Hokkaido
706.85,01/09/2024 10:30,6,Texas
829.51,01/09/2024 11:00,7,Hokkaido
508.81,01/09/2024 11:30,8,Maharashtra
462.19,01/09/2024 12:00,9,Maharashtra
829.47,01/09/2024 12:30,10,Ontario
631.94,01/09/2024 13:00,11,Bavaria
334.5,01/09/2024 13:30,12,Texas
219.77,01/09/2024 14:00,13,Yucatán
462.19,01/09/2024 12:00,9,Maharashtra
639.36,01/09/2024 14:30,14,Tamil Nadu
19.1,01/09/2024 15:00,15,Ontario
74.81,01/09/2024 15:30,16,Baden-Württemberg
967.14,01/09/2024 16:00,17,Ontario
93.87,01/09/2024 16:30,18,São Paulo
745.52,01/09/2024 17:00,19,Florida
853.02,01/09/2024 17:30,20,Texas
672.18,01/09/2024 08:30,2,Ontario
677.18,01/09/2024 08:35,2,Ontario
952.72,02/09/2024 08:00,1,Île-de-France
672.18,02/09/2024 08:30,2,Ontario
639.36,02/09/2024 14:30,14,Tamil Nadu
320.26,02/09/2024 09:00,3,New South Wales
200.04,02/09/2024 09:30,4,Karnataka
600.51,02/09/2024 10:00,5,Hokkaido
706.85,02/09/2024 10:30,6,Texas
829.51,02/09/2024 11:00,7,Hokkaido
508.81,02/09/2024 11:30,8,Maharashtra
462.19,02/09/2024 12:00,9,Maharashtra
829.47,02/09/2024 12:30,10,Ontario
631.94,02/09/2024 13:00,11,Bavaria
334.5,02/09/2024 13:30,12,Texas
219.77,02/09/2024 14:00,13,Yucatán
462.19,02/09/2024 12:00,9,Maharashtra
639.36,02/09/2024 14:30,14,Tamil Nadu
19.1,02/09/2024 15:00,15,Ontario
74.81,02/09/2024 15:30,16,Baden-Württemberg
967.14,02/09/2024 16:00,17,Ontario
93.87,02/09/2024 16:30,18,São Paulo
745.52,02/09/2024 17:00,19,Florida
